ColumnName,Descripcion,Description
pymnt_plan,Indica si se ha establecido un plan de pago para el préstamo,Indicates if a payment plan has been put in place for the loan
recoveries,descontar la recuperación bruta,post charge off gross recovery
revol_bal,Saldo rotatorio de crédito total,Total credit revolving balance
revol_util,"Tasa de utilización de la línea renovable, o la cantidad de crédito que el prestatario está utilizando en relación con todo el crédito renovable disponible.","Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
sub_grade,Subgrado de préstamo asignado LC,LC assigned loan subgrade
tax_liens,Número de gravámenes fiscales,Number of tax liens
term,El número de pagos del préstamo. Los valores están expresados ??en meses y pueden ser 36 o 60.,The number of payments on the loan. Values are in months and can be either 36 or 60.
title,El título del préstamo proporcionado por el prestatario.,The loan title provided by the borrower
total_acc,El número total de líneas de crédito actualmente en el archivo de crédito del prestatario,The total number of credit lines currently in the borrower's credit file
total_pymnt,Pagos recibidos hasta la fecha por el monto total financiado,Payments received to date for total amount funded
total_pymnt_inv,Pagos recibidos hasta la fecha por parte del monto total financiado por los inversores,Payments received to date for portion of total amount funded by investors
total_rec_int,Intereses recibidos hasta la fecha,Interest received to date
total_rec_late_fee,Cargos por mora recibidos hasta la fecha,Late fees received to date
total_rec_prncp,Principal recibido a la fecha,Principal received to date
verification_status,"Indica si los ingresos fueron verificados por LC, no verificados o si la fuente de ingresos fue verificada","Indicates if income was verified by LC, not verified, or if the income source was verified"
zip_code,Los primeros 3 números del código postal proporcionado por el prestatario en la solicitud de préstamo.,The first 3 numbers of the zip code provided by the borrower in the loan application.
