funded_amnt,loan_term_year,int_rate,grade_code,purpose_code,addr_state_code,home_ownership_code,annual_inc,dti,revol_util,pub_rec_bankruptcies,repaid,total_pymnt
25000,3,15.27,2,2,0,3,82000,18.5,70.6,0,1,28098.04098
10000,3,15.96,2,2,0,4,53000,13.09,77.2,0,1,12649.36
15550,3,11.71,1,2,1,4,54000,23.36,89.8,0,1,18515.86999
17000,5,15.27,2,2,3,4,65000,16.84,62.7,0,1,24441.776827064303
7500,3,12.69,1,1,0,4,65000,4.41,35.5,0,1,9057.079996
8875,3,8.9,0,2,0,3,28800,24.29,69.5,0,1,10145.14993
5800,3,12.42,1,2,5,4,36000,21.67,66.9,0,1,6977.099999
10000,3,11.71,1,2,3,4,40000,22.26,47.4,0,1,11819.55603
14000,3,11.71,1,1,0,4,52000,12.97,57.9,0,1,15611.66481
24000,3,7.9,0,2,1,3,75000,10.58,45,0,1,27034.77001
14000,3,14.27,2,1,4,4,80000,3.3,59,0,1,17235.869355636998
15000,5,12.69,1,2,3,3,30000,24.76,65.7,0,0,9543.84
5600,3,10.65,1,2,0,4,60000,16.36,12.4,1,1,6566.699998359315
7500,3,9.91,1,1,0,4,31200,12.35,57.3,0,1,8551.156268
27575,5,12.42,1,4,5,0,105000,16.53,25,0,1,34446.38201
9800,3,16.29,3,1,0,4,67000,21.01,44.9,0,1,12161.90555
15700,5,18.25,3,2,1,0,63000,17.43,63,0,1,23722.74001845629
5000,3,6.62,0,2,1,4,276000,1.82,56,0,1,5526.6600000010985
4000,3,11.71,1,4,1,4,24000,7.5,54.9,0,1,4186.02303
15000,3,11.71,1,2,1,0,68400,5.7,82.2,0,1,17861.03001
12000,3,15.27,2,2,3,0,54000,17.07,61,0,1,15032.53999
15000,3,14.65,2,1,3,0,100500,14.56,74.3,0,1,16917.77509
10200,3,14.27,2,2,0,4,40000,16.53,80.6,0,1,12187.97328
9000,3,12.42,1,1,1,0,47000,19.1,47.2,0,1,10826.53001
6500,3,16.29,3,2,1,0,68000,21.85,92.4,0,1,8197.123026
2000,3,7.9,0,1,0,4,39600,5.09,79.2,0,1,2252.86
8000,3,13.49,2,2,0,3,30000,14.48,44.1,0,1,9771.92
16925,5,14.65,2,2,0,4,75000,16.51,74.9,0,0,3615.929999999998
9600,3,13.49,2,2,4,0,27000,10.22,84.9,0,1,11411.61548
9000,3,6.62,0,2,0,0,45000,22.05,44,0,1,9932.884725
10000,3,7.9,0,1,4,4,72500,27.92,69.1,0,1,11264.46
1000,3,14.65,2,6,3,4,18408,6,83.7,1,0,91.39
14000,3,7.9,0,2,5,4,30000,15.2,62.3,0,1,15298.55288
15000,5,19.03,4,2,1,4,75000,2.82,75.9,0,1,22607.34002
4500,3,15.96,2,9,4,0,65000,14.66,76.6,0,1,5582.66199
3000,3,7.51,0,6,5,0,65000,27.91,56,0,1,3359.94
10000,3,9.91,1,4,3,0,120000,7.98,68.1,0,1,11600.980000001298
20675,5,13.49,2,2,4,0,75000,25.71,50.5,0,0,19893.95
7200,3,15.27,2,2,5,4,54990,20.95,96,0,1,8954.778171
23000,3,7.9,0,2,5,0,137000,8.13,60.8,0,1,23980.721342815497
20000,5,16.77,3,2,0,4,60000,9.46,41,0,0,18799.72
6000,5,17.58,3,2,4,4,30120,15.54,80.6,0,1,9026.860008
13000,3,9.91,1,1,0,4,65000,8.82,75.9,0,1,14822.16555
18000,3,6.62,0,2,5,0,78000,6.35,25,0,1,19895.96
8125,3,7.9,0,2,2,4,25000,24.34,63.6,0,1,9152.370003
18800,3,7.51,0,2,0,0,82000,13.76,17.3,0,1,21055.77
26800,3,19.03,4,1,0,0,82000,21.59,98,0,1,31286.01045
8475,5,17.58,3,2,0,4,27600,18.7,86.1,0,1,11224.59391
4000,3,16.29,3,2,0,4,35000,9.22,83.5,0,1,5055.326911
12000,3,9.91,1,1,0,3,33000,18.8,74.9,0,1,13874.18116
11300,3,12.69,1,1,1,0,36000,16.33,74.7,0,1,12791.39767
4000,3,9.91,1,2,0,0,130000,10.05,85,0,1,4635.56
4375,3,12.42,1,2,0,3,15000,13.92,74.9,0,1,5262.849999
3000,3,10.65,1,9,3,0,86004,13.37,64.6,0,0,2241.56
5400,3,12.69,1,0,5,0,75000,8.8,68.7,0,1,6276.636933
15000,3,16.29,3,11,5,4,110000,21.99,84.1,0,0,1874.13
10400,3,12.69,1,1,0,4,44000,19.91,90.1,0,1,12559.16001
10000,3,6.62,0,4,1,4,75000,24.85,5.9,0,1,10744.74135
3600,3,8.9,0,2,4,4,55000,5.48,65.9,0,1,3977.331551
13250,5,11.71,1,6,0,4,100000,0.72,10.4,0,1,16367.249009038798
15000,3,18.25,3,2,0,0,66000,8.49,89.1,0,1,17729.28955
8000,3,11.71,1,6,3,4,85000,10.22,35.7,0,1,8371.963221
17950,5,16.77,3,2,0,4,83004,13.66,82.9,0,1,19647.968595593506
8000,3,10.65,1,2,0,4,55000,11.56,15.7,0,1,8925.982940985501
12000,3,7.51,0,2,0,4,86000,13.3,51.8,0,1,13099.51001
2200,3,15.27,2,2,5,3,48000,5.47,83.7,0,0,2294
20000,5,12.69,1,9,4,4,49000,17.78,66.9,0,1,27113.49431
25000,5,19.42,4,1,4,4,105000,21.13,85.3,0,0,36098.36
8000,5,8.9,0,2,4,4,51204,25.12,37.6,0,0,4639.04
14400,3,15.27,2,2,4,4,42996,0.98,7.7,0,1,14762.61059
13700,5,19.03,4,1,0,4,60000,18.06,97.4,0,1,19738.8249
14050,3,8.9,0,6,4,0,120000,2.21,18.8,0,1,15811.69163
23250,5,20.3,4,2,1,3,85000,16.39,76.5,0,0,3099.4
10525,3,7.9,0,2,0,4,49668,7.27,68.9,0,1,11650.69649
7200,3,15.96,2,2,3,4,30000,5.2,94.2,0,1,9107.579997
12000,3,11.71,1,1,2,0,100000,6.58,79.6,0,1,14288.76999
9500,3,16.29,3,2,0,4,54011,18.51,79.5,0,1,10658.90237
19775,3,12.42,1,2,0,4,49110,17.57,61.1,0,1,22696.10103453687
16000,3,10.65,1,2,0,0,55000,13.33,89.7,0,1,18762.13
4150,3,10.65,1,2,0,4,100000,1.99,25,0,1,4833.717409
24000,3,16.77,3,1,0,4,70000,12.57,91.2,0,1,30705.06003
21250,3,12.42,1,9,3,4,37000,14.27,69.3,0,0,8880.24
25000,5,18.25,3,2,0,0,75000,10.58,72,0,1,32075.954313812403
15000,3,11.71,1,2,4,4,60000,8.86,70.8,0,1,17604.813320555702
20000,5,13.49,2,1,1,4,68000,9.09,79.3,0,1,27154.14
3600,3,15.96,2,8,4,4,40000,12.78,52.2,0,1,4553.736107
6000,5,19.03,4,2,0,3,31000,20.13,93,0,1,8951.190009
15000,3,15.27,2,2,4,4,60000,10.72,75.2,0,0,6380.91
12000,5,18.25,3,1,0,4,43000,15.24,45.4,0,1,17523.11997
4000,3,12.69,1,4,1,4,30000,17.6,5.5,0,0,2157.3
13000,3,10.65,1,2,1,0,50000,20.11,40.6,0,1,15244.21999
5000,3,15.96,2,1,0,3,98000,19.63,53.3,0,1,6016.294917240802
8000,3,7.9,0,2,0,4,32400,7.56,34.1,0,1,8977.560505
20000,5,9.91,1,2,4,0,114996,11.19,15.4,0,1,23342.28925
13000,5,23.52,6,2,4,4,61000,11.65,92.1,0,1,22244.88615
24000,5,17.58,3,2,1,4,68809,21.29,25.3,0,0,4408.9
11200,3,12.42,1,0,0,4,75000,22.88,74.4,0,0,4230.94
7000,3,10.65,1,9,4,4,52000,18.16,94.8,0,1,8208.410001
8000,3,6.03,0,5,0,4,57600,11.52,12.4,0,1,8765.414061939198
22500,5,16.77,3,1,0,4,48500,10.91,84.5,0,1,31414.37998
22000,3,14.65,2,2,2,4,58000,12.1,92.3,0,1,26362.79333
5000,3,8.9,0,9,0,0,70000,16.17,53,0,1,5652.840923
5000,3,11.71,1,0,0,4,35000,4.01,61.8,0,1,5728.171105736001
12000,3,14.27,2,1,0,4,28000,8.49,68.5,0,0,5432.27
28000,3,7.9,0,4,2,0,118000,5.29,24.8,0,0,9961.52
5000,3,12.42,1,13,1,4,40000,22.59,82.3,0,1,6014.729999999799
8400,3,6.62,0,2,0,4,25000,11.86,36.1,0,1,9284.750002
7000,3,10.65,1,2,0,0,36000,24,72.8,0,1,8100.969288
11600,5,19.42,4,2,2,4,45000,21.68,65.9,1,1,18185.79999
9600,5,14.65,2,2,4,4,65000,14.44,47.8,0,1,13597.22262
8575,3,17.58,3,2,1,0,32000,22.54,89.9,0,0,4646.17
8000,3,11.71,1,1,0,4,70000,20.21,92.1,0,1,9524.25
25000,3,11.71,1,2,1,0,76896,13.9,76,0,1,29603.232183606106
2000,3,9.91,1,9,2,4,24000,13.5,64.2,1,1,2320.2000000001003
16800,3,14.65,2,1,5,4,60000,14.52,96.9,0,1,20862.00998
8000,3,8.9,0,1,0,0,120000,10.52,60.6,0,1,8300.677545
18000,3,16.29,3,2,5,3,140000,21.8,90.2,0,1,22874.61001
10000,3,12.69,1,2,0,3,36000,15.9,65.3,0,0,9758.77
10000,3,16.29,3,1,4,4,51360,16.61,79.1,0,1,12708.08
25000,3,9.91,1,12,0,4,163000,4.4,4.6,0,1,26319.63526
3000,3,16.29,3,9,1,0,65000,15.16,60.2,0,0,2706.67
7700,3,16.77,3,9,5,4,29772,18.58,82.9,0,0,4913.02
2400,3,13.49,2,9,5,3,12996,4.71,96.7,0,1,2931.5400004778003
5000,3,10.65,1,1,0,3,44475,17.11,70.4,0,1,5482.054532
14000,3,17.58,3,2,5,0,88000,7.73,40.7,0,1,16307.633134041502
24500,5,20.89,5,1,3,4,85000,9.09,94.4,0,0,3998.52
1800,3,12.42,1,9,0,4,117000,15.86,60.8,0,1,1994.275589
22200,3,19.42,4,2,0,4,160000,13.33,89.1,0,0,9177.26
21400,5,19.42,4,1,1,4,80000,19.66,66.2,0,1,28127.21444
8000,3,12.69,1,0,0,4,48000,15.33,38.5,0,1,9660.909999999902
12375,5,23.13,6,9,1,4,40000,20.88,22.5,0,0,8530.26
9600,3,14.27,2,4,1,0,156000,15.54,18.9,0,1,11857.13
17275,5,19.03,4,2,2,0,96000,16.19,58.5,0,1,26904.42477256311
19275,5,19.03,4,1,5,0,80000,26.82,85.1,0,1,26880.33123
6000,3,7.9,0,1,0,4,59400,19.17,76.2,0,1,6757.431242486301
10000,3,10.65,1,2,4,4,36000,14,78.9,0,1,10593.80226
15000,5,19.91,4,1,4,4,51000,20.85,92.7,0,1,21055.75337
5000,3,12.69,1,9,2,4,25000,20.54,97.3,0,1,6038.03
3000,5,17.27,3,2,0,4,35000,11.42,66.5,0,1,4499.429800200098
7100,3,14.65,2,2,2,4,33000,23.85,41.5,0,0,3918.56
12000,3,16.77,3,1,0,0,93000,13.46,92.5,0,1,15352.479991285703
22400,5,22.74,6,1,4,4,85000,7.02,58.7,0,0,27117.82
5825,3,10.65,1,2,0,4,50000,13.25,89,0,1,6830.600000603299
22250,3,12.69,1,2,4,4,41000,15.63,61.9,0,0,19580.94
18000,5,16.77,3,2,0,4,50000,21.22,77.6,0,1,26668.28805
7650,3,11.71,1,2,0,4,57000,23.96,63.4,0,0,3104.81
20675,5,15.27,2,9,0,4,50132,23.31,74.1,0,0,5937.6
15000,3,6.03,0,5,3,4,60000,12.78,5.5,0,1,16435.17
20500,5,12.69,1,2,0,4,47800,28.32,52.2,0,0,7897.74
12800,3,12.42,1,1,0,0,99600,19.95,89.8,0,1,15397.729999996796
7000,3,12.69,1,2,4,4,49000,14.42,97.4,0,1,8018.915047
7600,5,16.77,3,9,5,4,33996,16.52,72.7,0,1,11153.39787
14125,3,7.9,0,2,5,4,32000,22.54,60.8,0,1,15533.89575
12000,3,6.62,0,2,0,0,94500,4.17,35.3,0,1,13207.97974
8900,5,20.3,4,2,1,4,30000,18.76,98.6,0,1,13908.29001
12000,3,15.96,2,2,4,0,88000,10.6,77.8,0,0,4638.15
10000,3,12.69,1,1,3,4,45000,22.61,74.4,0,1,12076.13
25000,5,14.27,2,2,1,0,89000,10.77,63.6,0,1,35112.47436
14575,3,10.65,1,1,3,4,35000,16.46,58.5,0,1,17091.140004526398
10000,3,13.49,2,2,4,4,30000,20.96,32,0,0,4750.34
13000,3,13.49,2,2,0,4,65000,17.11,81.1,0,1,14826.527543044998
30000,5,14.27,2,11,5,4,90000,19.12,49,0,1,38699.893487950496
21600,3,17.27,3,4,5,0,58600,10.85,95.3,0,0,2726.3
7000,3,12.42,1,1,0,4,85000,15.11,72.3,0,1,8336.403489
3600,3,17.27,3,9,3,0,44004,5.59,75.7,0,1,4637.963736
5000,3,8.9,0,7,3,4,33000,16.47,29.7,0,1,5715.56
12000,3,11.71,1,2,3,4,62000,6.74,90.9,0,1,14288.77
